"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[-0.17, 0.24, 1.26]","[-0.39, 0.24, 1.26]","[-0.39, 0.16, 1.34]","[-0.39, 0.1, 1.28]","[-0.39, 0.04, 1.33]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.05, 0.41, 1.43]","[0.22, 0.31, 1.34]","[0.23, 0.39, 1.26]","[0.31, 0.36, 1.24]","[0.3, 0.3, 1.3]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.07, 0.41, 1.43]","[0.23, 0.31, 1.33]","[0.23, 0.39, 1.25]","[0.3, 0.36, 1.22]","[0.3, 0.3, 1.28]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.08, 0.41, 1.43]","[0.24, 0.32, 1.32]","[0.23, 0.4, 1.24]","[0.3, 0.36, 1.2]","[0.3, 0.3, 1.25]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.1, 0.41, 1.42]","[0.25, 0.32, 1.3]","[0.23, 0.4, 1.22]","[0.3, 0.36, 1.17]","[0.3, 0.3, 1.23]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.12, 0.41, 1.42]","[0.27, 0.31, 1.29]","[0.25, 0.39, 1.22]","[0.32, 0.36, 1.17]","[0.32, 0.3, 1.23]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.14, 0.41, 1.41]","[0.29, 0.31, 1.29]","[0.27, 0.39, 1.21]","[0.35, 0.36, 1.17]","[0.35, 0.3, 1.22]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.16, 0.41, 1.41]","[0.3, 0.31, 1.27]","[0.28, 0.39, 1.2]","[0.34, 0.37, 1.15]","[0.35, 0.3, 1.2]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.18, 0.4, 1.4]","[0.31, 0.31, 1.27]","[0.29, 0.39, 1.19]","[0.37, 0.37, 1.15]","[0.37, 0.3, 1.2]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.19, 0.41, 1.39]","[0.32, 0.31, 1.25]","[0.3, 0.39, 1.17]","[0.37, 0.37, 1.13]","[0.38, 0.3, 1.18]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.2, 0.4, 1.38]","[0.34, 0.31, 1.25]","[0.32, 0.38, 1.17]","[0.39, 0.37, 1.13]","[0.4, 0.3, 1.18]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.22, 0.39, 1.37]","[0.36, 0.3, 1.24]","[0.34, 0.38, 1.16]","[0.42, 0.37, 1.13]","[0.43, 0.3, 1.18]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.23, 0.38, 1.36]","[0.38, 0.3, 1.24]","[0.36, 0.37, 1.16]","[0.44, 0.37, 1.13]","[0.45, 0.3, 1.18]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.25, 0.38, 1.35]","[0.4, 0.29, 1.23]","[0.38, 0.37, 1.15]","[0.46, 0.37, 1.13]","[0.47, 0.3, 1.18]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.25, 0.38, 1.34]","[0.41, 0.3, 1.22]","[0.39, 0.38, 1.14]","[0.46, 0.37, 1.1]","[0.47, 0.3, 1.15]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.27, 0.36, 1.33]","[0.43, 0.3, 1.21]","[0.41, 0.37, 1.13]","[0.49, 0.37, 1.1]","[0.5, 0.3, 1.15]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.27, 0.36, 1.31]","[0.44, 0.3, 1.2]","[0.41, 0.38, 1.12]","[0.49, 0.37, 1.08]","[0.5, 0.3, 1.13]"
"[0.07, 0.13, 1.15]","[0.07, 0.24, 1.26]","[0.28, 0.36, 1.3]","[0.45, 0.31, 1.18]","[0.42, 0.39, 1.1]","[0.49, 0.37, 1.05]","[0.5, 0.3, 1.1]"
